Product ID (#),Name,$ Price:,Quantity,Category,Description,Production Date (DD/MM/YYYY),Expiration Date (DD/MM/YYYY),Rating:,Status
1,Белый шоколад,5020,132,Бакалея,Прошел строгий контроль качества на всех этапах производства.,2012-02-07,2030-01-05,3.81:,Shipping
2,Пакеты для Дня смеха,5126,847,Товары для дома,"Отличается разнообразием вкусов и текстур, что позволяет каждому найти свой любимый продукт.",2022-06-22,2028-08-01,1.12:,Temporarily Unavailable
3,Авокадо,2834,411,Фрукты,Может использоваться в вегетарианской диете как источник белка.,2006-04-20,2019-03-01,3.04:,Awaiting Review
4,Чай черный,4936,693,Бакалея,"Отличается высоким содержанием меди, необходимой для синтеза коллагена и эластина.",2013-01-01,2020-08-03,1.03:,Sold
5,Каша из дробленной перловой крупы,1651,420,Бакалея,"Отличается высоким содержанием генистеина, изофлавона, полезного для здоровья костей и профилактики рака.",2003-08-25,2025-01-12,2.58:,Returned
6,Адыгейский сыр,7265,755,Молочные продукты,"Обладает приятными органолептическими свойствами, привлекающими внимание покупателей.",2003-08-01,2016-03-01,3.37:,In Stock
7,Варенец,8672,836,Молочные продукты,Помогает поддерживать нормальный уровень триглицеридов в крови.,1996-01-23,2005-04-01,1.88:,Available for Pickup
8,Блины с мясом,495,782,Мясо,"Помогает поддерживать нормальный уровень эритропоэтина, гормона, стимулирующего производство эритроцитов.",2011-01-02,2013-01-18,4.12:,New
9,Пармезан,5078,241,Молочные продукты,Высокое содержание белка обеспечивает длительное чувство сытости и способствует поддержанию мышечной массы.,2014-01-07,2025-02-08,3.09:,Pending
10,Одинцовская,8743,688,Напитки,"Помогает поддерживать нормальный уровень 5-гидрокситриптофана (5-HTP), предшественника серотонина.",2019-01-01,2023-06-02,0.87:,Awaiting Payment
11,Тмин молотый,6817,586,Бакалея,"Отличается высоким содержанием коэнзима Q10, необходимого для выработки энергии в клетках.",2005-09-04,2021-02-15,1.35:,Refunded
12,Клюква,7510,571,Фрукты,Помогает поддерживать нормальный уровень артериального давления.,2019-10-01,2023-03-08,4.0:,Available for Pickup
13,Адыгейский сыр,2119,344,Молочные продукты,"Помогает поддерживать нормальный уровень аллицина, вещества, обладающего антибактериальными и противогрибковыми свойствами.",2013-04-03,2016-01-01,2.59:,Available for Pickup
14,Окра,2009,893,Овощи,"Отличается высоким содержанием витамина E, необходимого для защиты клеточных мембран.",2013-03-10,2017-03-15,2.04:,In Stock
15,Пятновыводитель,2748,526,Товары для дома,"Отличается высоким содержанием оротовой кислоты, необходимой для синтеза ДНК и РНК.",2016-10-01,2020-09-11,0.41:,Backorder
16,Капуста белокочанная,764,160,Овощи,"Обеспечивает организм необходимыми жирами, белками и углеводами.",2022-01-03,2023-01-09,0.07:,Temporarily Unavailable
17,Пакеты для уборки,6598,313,Товары для дома,"Подходит для приготовления как горячих, так и холодных блюд.",2008-06-03,2024-07-04,2.32:,Returned
18,Айран,767,60,Молочные продукты,"Подходит для людей, следящих за своим весом, благодаря низкому содержанию калорий.",2001-06-25,2021-02-05,3.82:,Out of Stock
19,Пакеты для запекания,7360,622,Товары для дома,Отличается простотой в использовании и хранении.,2008-01-07,2014-05-01,2.14:,In Stock
20,Пакеты для ярмарки,3252,92,Товары для дома,"Является источником витаминов группы B, необходимых для энергетического обмена.",1999-03-05,2001-01-11,2.13:,New
21,Пакеты для Рождества,8606,729,Товары для дома,Отличается высокими показателями усвояемости организмом.,1995-09-08,2001-11-04,0.7:,Awaiting Payment
22,Инжир,3329,106,Фрукты,"Отличается высоким содержанием оротовой кислоты, необходимой для синтеза ДНК и РНК.",2019-02-03,2026-01-17,3.92:,Delivered
23,Лардон,1485,739,Мясо,Помогает сохранять бодрость и активность в течение дня.,2014-02-11,2026-01-02,0.07:,Temporarily Unavailable
24,Хурма,9317,765,Фрукты,"Подходит для людей всех возрастов, включая детей и пожилых.",2022-01-04,2025-04-03,4.04:,New
25,Нектарин,4139,794,Фрукты,Способствует улучшению работы пищеварительной системы.,2018-03-17,2018-09-01,3.17:,Awaiting Payment
26,Панчетта,3352,645,Мясо,"Отличается высоким содержанием лютеолина, флавоноида, обладающего противовоспалительными свойствами.",1991-03-18,2000-03-20,2.01:,In Stock
27,Зельц,9481,529,Мясо,"Отличается высоким содержанием цинка, необходимого для здоровой иммунной системы.",2011-01-11,2013-01-05,1.93:,New
28,Миксер,2543,124,Товары для дома,Может использоваться в вегетарианской диете как источник белка.,2021-02-13,2028-02-02,4.12:,Temporarily Unavailable
29,Ножи столовые,7114,885,Товары для дома,"Отличается высоким содержанием карнитина, необходимого для преобразования жиров в энергию.",1999-01-03,2025-01-18,2.4:,New
30,Ямс,4343,397,Овощи,Отличается высокой степенью очистки и отсутствия посторонних примесей.,2002-01-02,2026-05-02,2.1:,Sold
31,Ряженка,8118,72,Молочные продукты,Улучшает настроение и общее самочувствие благодаря содержанию триптофана.,2010-06-16,2017-01-12,3.42:,Backorder
32,Сэндвичи с ветчиной,1899,731,Мясо,"Отличается высоким содержанием витаминов группы D, необходимых для здоровья костей и иммунитета.",2008-10-01,2020-02-26,3.29:,Awaiting Review
33,Окорок,3119,474,Мясо,"Отличается высоким содержанием фолиевой кислоты, необходимой для формирования новых клеток.",2017-02-11,2027-01-04,1.77:,Temporarily Unavailable
34,Маринад для мяса,9231,419,Бакалея,"Отличается высоким содержанием фтора, необходимого для здоровья зубов и костей.",2007-06-15,2020-02-02,3.53:,Delivered
35,Инжир,8687,832,Фрукты,"Не содержит консервантов и красителей, что делает его экологически чистым продуктом.",2010-12-07,2027-01-08,2.87:,Backorder
36,Полотенца банные,6315,483,Товары для дома,Помогает улучшить когнитивные функции и память.,2009-03-20,2012-09-18,3.9:,Awaiting Review
37,Шубат,1175,637,Молочные продукты,"Помогает поддерживать нормальный уровень метионина, аминокислоты, необходимой для детоксикации организма.",1998-03-01,2007-02-04,1.48:,Delivered
38,Морковь,8435,438,Овощи,"Не содержит консервантов и красителей, что делает его экологически чистым продуктом.",2015-01-12,2015-02-13,0.31:,Pending
39,Укроп,6002,139,Овощи,Помогает поддерживать нормальный уровень глюкозы в крови.,2019-08-04,2025-02-12,3.7:,Sold
40,Сердце,5182,140,Мясо,Помогает поддерживать здоровый цвет лица и упругость кожи.,2017-07-13,2020-02-05,0.69:,Returned
41,Йогурт,6451,352,Молочные продукты,Отличается натуральным составом и отсутствием искусственных добавок.,1999-03-06,2029-01-17,2.7:,Awaiting Payment
42,Электрочайник,3667,751,Товары для дома,Помогает поддерживать здоровье нервной системы благодаря содержанию магния.,2003-02-07,2024-01-02,1.36:,Out of Stock
43,Свекла,4102,929,Овощи,Помогает поддерживать нормальный уровень триглицеридов в крови.,2004-02-01,2024-08-19,3.66:,Returned
44,Кабан,3197,95,Мясо,"Помогает поддерживать нормальный уровень тиреоидных гормонов, регулирующих обмен веществ.",2015-01-02,2015-04-06,0.16:,Awaiting Review
45,Виноград,1283,230,Фрукты,"Помогает поддерживать нормальный уровень ацетилхолина, нейромедиатора, ответственного за память и обучение.",2007-03-08,2020-02-25,1.53:,Delivered
46,Банан,228,349,Фрукты,Отличается высоким уровнем биологической доступности питательных веществ.,2007-07-10,2008-01-01,1.04:,Returned
47,Фета,1732,347,Молочные продукты,"Подходит для людей всех возрастов, включая детей и пожилых.",2018-06-24,2026-03-15,1.2:,Shipping
48,Растительное масло кокосовое,9090,496,Бакалея,"Является источником незаменимых аминокислот, необходимых для построения мышц.",2000-05-01,2004-08-18,3.95:,Out of Stock
49,Варенец,6559,787,Молочные продукты,"Помогает поддерживать нормальный уровень аллицина, вещества, обладающего антибактериальными и противогрибковыми свойствами.",2021-05-09,2029-01-03,2.32:,Returned
50,Сельдерей,7567,835,Овощи,"Отличается высоким содержанием фтора, необходимого для здоровья зубов и костей.",2019-08-13,2022-01-24,0.02:,Shipping
51,Пакеты для дня рождения,9672,739,Товары для дома,"Подходит для людей, следящих за своим весом, благодаря низкому содержанию калорий.",2000-08-10,2004-01-08,1.68:,Temporarily Unavailable
52,Гауда,4796,793,Молочные продукты,Отличается гипоаллергенностью и безопасностью для большинства людей.,2018-07-12,2027-02-01,4.26:,Awaiting Review
53,Моцарелла,5346,924,Молочные продукты,"Помогает поддерживать нормальный уровень глюкагона, гормона, регулирующего уровень глюкозы в крови.",2015-01-04,2027-08-02,1.43:,Shipping
54,Панчетта,9011,745,Мясо,"Помогает поддерживать здоровую кожу, волосы и ногти благодаря содержанию биотина.",2018-03-15,2024-01-01,4.73:,Awaiting Payment
55,Адыгейский сыр,4082,584,Молочные продукты,"Отличается высоким содержанием тиамина, необходимого для нормального функционирования нервной системы.",2019-12-06,2021-10-03,1.13:,Temporarily Unavailable
56,Артек,8032,393,Напитки,"Отличается высоким содержанием антиоксидантов, защищающих клетки от окислительного стресса.",1991-05-06,2003-08-09,3.78:,Awaiting Review
57,Грейпфрут,6411,774,Фрукты,Помогает поддерживать нормальный уровень электролитов в организме.,2014-01-02,2026-01-25,4.0:,Pending
58,Паштет,2135,68,Мясо,Идеален для перекусов между основными приемами пищи.,1995-02-03,2026-03-01,1.01:,Awaiting Review
59,Каша из теффа,4914,107,Бакалея,Идеально подходит для употребления в чистом виде или в составе различных блюд и напитков.,2019-02-02,2020-01-15,3.62:,Backorder
60,Капуста белокочанная,4174,714,Овощи,Помогает поддерживать здоровье нервной системы благодаря содержанию магния.,1990-02-01,1990-02-01,4.97:,Delivered
61,Пакет для хранения продуктов,5606,762,Товары для дома,Подходит для людей с чувствительным пищеварением.,1995-08-02,2020-07-13,0.11:,Shipping
62,Брюква,6285,782,Овощи,"Отличается высоким содержанием эвгенола, вещества, обладающего обезболивающими и антисептическими свойствами.",2013-01-26,2027-08-04,0.6:,Awaiting Review
63,Латте,5745,857,Напитки,Отличается низкой калорийностью и высоким содержанием белка.,2022-04-01,2026-02-02,4.97:,Delivered
64,Голландский сыр,7598,755,Молочные продукты,Прошел проверку на соответствие экологическим нормам и стандартам.,2022-01-01,2024-01-09,3.73:,Available for Pickup
65,Верблюжье молоко,3704,74,Молочные продукты,Помогает поддерживать нормальный уровень холестерина в крови.,1993-04-03,2016-03-27,3.2:,Delivered
66,Кровяная колбаса,811,819,Мясо,Придает блюдам особую нежность и насыщенность.,1999-01-05,2016-07-01,1.14:,Returned
67,Салями,8699,383,Мясо,"Помогает поддерживать нормальный уровень глюкагона, гормона, регулирующего уровень глюкозы в крови.",1999-08-07,2029-02-11,0.15:,Shipping
68,Анис звездчатый,1620,797,Бакалея,Отличается высокой эффективностью в борьбе с анемией благодаря содержанию железа.,2006-01-12,2014-02-22,4.0:,Backorder
69,Ряженка,3120,773,Молочные продукты,"Отличается высоким содержанием генистеина, изофлавона, полезного для здоровья костей и профилактики рака.",2003-01-10,2019-07-02,4.92:,Available for Pickup
70,Черника,6776,457,Фрукты,"Отличается высоким содержанием цинка, необходимого для здоровой иммунной системы.",2006-08-04,2018-03-09,1.92:,Returned
71,Груша,3706,111,Фрукты,Отличается высокой степенью адаптации к индивидуальным потребностям организма.,1993-01-02,2027-02-01,2.61:,Awaiting Payment
72,Куркума молотая,4859,500,Бакалея,"Отличается высоким содержанием DMAE, вещества, улучшающего умственную деятельность и настроение.",1992-04-13,1992-08-06,2.22:,Delivered
73,Айран,6037,61,Молочные продукты,Помогает снизить риск развития сердечно-сосудистых заболеваний.,1998-12-02,2012-02-04,0.61:,Awaiting Review
74,Топинамбур,6401,661,Овощи,Отличается высокой питательностью и способен быстро утолить голод.,1996-02-03,2024-06-05,1.44:,Sold
75,Соус соевый,3310,446,Бакалея,"Помогает поддерживать нормальный уровень апигенина, флавоноида, полезного для здоровья мозга и иммунной системы.",2013-05-17,2025-05-02,3.32:,Returned
76,"Специи (перец, куркума, зира)",6218,94,Бакалея,"Отличается высоким содержанием пантотеновой кислоты, необходимой для метаболизма жиров, белков и углеводов.",2015-01-02,2021-03-09,4.72:,New
77,Айва,9247,549,Фрукты,Идеален для перекусов между основными приемами пищи.,2002-04-11,2020-01-21,1.8:,Backorder
78,Копчености,7768,713,Мясо,Может быть использован в качестве заменителя менее полезных продуктов.,1993-10-13,2003-04-07,0.63:,Delivered
79,Шубат,2474,209,Молочные продукты,"Помогает поддерживать нормальный уровень 5-гидрокситриптофана (5-HTP), предшественника серотонина.",2020-05-06,2029-07-06,2.31:,Awaiting Review
80,Кабачок,5519,449,Овощи,Является важным элементом спортивного питания для восстановления после тренировок.,2015-01-02,2020-01-03,1.2:,Temporarily Unavailable
81,Гречка,7717,984,Бакалея,Помогает поддерживать нормальный уровень холестерина в крови.,2019-03-03,2022-01-05,1.06:,Sold
82,Пакеты для Дня благодарения,8995,743,Товары для дома,"Помогает поддерживать нормальный уровень глутатиона, главного антиоксиданта организма.",2017-01-11,2023-06-15,0.68:,Available for Pickup
83,Кефир,4641,222,Молочные продукты,Помогает поддерживать здоровый цвет лица и упругость кожи.,1994-05-19,2024-02-24,0.09:,New
84,Полотенца для рук,7428,38,Товары для дома,"Отличается высоким содержанием рутина, флавоноида, укрепляющего сосуды и улучшающего кровообращение.",2000-12-05,2025-04-01,4.54:,Sold
85,Петрушка сушеная,7393,307,Бакалея,"Отличается высоким содержанием антиоксидантов, защищающих клетки от окислительного стресса.",2022-01-11,2029-02-09,4.05:,Refunded
86,Эндивий,3906,672,Овощи,Поддерживает иммунитет и общее состояние здоровья.,2020-05-17,2023-08-01,3.21:,Shipping
87,Кунжут белый,1013,633,Бакалея,Служит основой для создания множества кулинарных шедевров.,2012-08-08,2027-07-10,0.3:,Out of Stock
88,Соевый напиток,3839,95,Напитки,"Отличается высоким содержанием пробиотиков, улучшающих микрофлору кишечника.",2016-05-04,2021-05-09,0.66:,In Stock
89,Кабачок,2031,223,Овощи,Может быть использован в выпечке для придания ей особой пышности и аромата.,2013-08-02,2022-01-21,2.8:,Pending
90,Конина,3181,974,Мясо,Помогает поддерживать нормальный уровень pH в организме.,2014-03-03,2030-01-07,4.45:,Refunded
91,Катык,7063,21,Молочные продукты,"Отличается высоким содержанием мирицетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",2015-01-24,2028-10-02,2.95:,Temporarily Unavailable
92,Саратовская,7931,140,Напитки,Помогает улучшить работу мозга и повысить концентрацию внимания.,2004-02-01,2015-10-06,3.26:,Sold
93,Миксер,8545,630,Товары для дома,"Отличается высоким содержанием глютамина, необходимого для восстановления мышц после физических нагрузок.",2001-04-15,2003-01-03,3.7:,Awaiting Payment
94,Севастопольская,7717,147,Напитки,"Помогает поддерживать здоровую кожу, волосы и ногти благодаря содержанию биотина.",2011-03-16,2018-11-11,2.92:,Out of Stock
95,Пакеты для обуви,2531,907,Товары для дома,"Помогает поддерживать нормальный уровень гистамина, важного для иммунной системы.",2008-01-02,2015-07-05,4.95:,Refunded
96,Лен семена,3857,949,Бакалея,"Натуральный продукт, богатый витаминами и минералами, необходимыми для поддержания здоровья.",2021-02-04,2021-05-21,4.67:,Awaiting Payment
97,Топинамбур,6608,765,Овощи,"Помогает поддерживать нормальный уровень цистеина, аминокислоты, участвующей в синтезе глутатиона.",2009-04-08,2021-02-08,0.55:,Refunded
98,Латте,8940,757,Напитки,Является неотъемлемой частью рациона многих народов мира.,2004-04-22,2010-04-10,1.82:,Refunded
99,Верблюжье молоко,2743,678,Молочные продукты,Рекомендуется для ежедневного потребления в умеренных количествах.,1992-02-26,2003-02-11,1.78:,Backorder
100,Сушеные грибы,4157,678,Бакалея,"Помогает поддерживать нормальный уровень даидзеина, изофлавона, полезного для здоровья женщин во время менопаузы.",1996-03-04,2004-01-24,2.37:,Awaiting Payment
101,Кола,1228,430,Напитки,"Отличается высоким содержанием биотина, необходимого для здоровья волос, кожи и ногтей.",2004-03-03,2006-04-05,4.77:,Returned
102,Хамон,7470,596,Мясо,"Помогает поддерживать нормальный уровень адреналина, гормона стресса и возбуждения.",2005-02-01,2015-04-07,3.43:,Available for Pickup
103,Мортаделла,3313,613,Мясо,Помогает поддерживать здоровье нервной системы благодаря содержанию магния.,2009-03-04,2018-02-07,2.13:,Sold
104,Турнепс,8823,128,Овощи,"Отличается высоким содержанием цинка, необходимого для здоровой иммунной системы.",2015-06-19,2020-02-07,2.44:,Available for Pickup
105,Салями,598,393,Мясо,"Отличается высоким содержанием катехинов, мощных антиоксидантов, полезных для сердца и сосудов.",1991-01-01,2014-06-06,3.21:,Shipping
106,Прошутто,6761,597,Мясо,Помогает поддерживать нормальную функцию щитовидной железы благодаря содержанию йода.,2008-01-14,2023-07-01,0.89:,Awaiting Review
107,Яблоко,4166,907,Фрукты,"Является источником витаминов группы B, необходимых для энергетического обмена.",2000-02-05,2023-02-01,0.56:,New
108,Шашлык,9358,872,Мясо,Помогает поддерживать нормальный уровень холестерина в крови.,2000-07-11,2028-01-01,3.19:,Shipping
109,Салями,2400,873,Мясо,Подходит для использования в качестве замены традиционных молочных продуктов.,1998-03-03,2022-05-08,2.67:,Shipping
110,Каша из дробленной гречки,3974,538,Бакалея,"Имеет длительный срок хранения, что позволяет всегда иметь его под рукой.",2012-04-02,2022-08-05,4.83:,Awaiting Payment
111,Телятина,3326,800,Мясо,Отличается высоким уровнем биологической доступности питательных веществ.,2019-01-20,2021-03-13,4.58:,Refunded
112,Тефтели,9061,488,Мясо,"Не содержит консервантов и красителей, что делает его экологически чистым продуктом.",2009-01-03,2025-01-02,1.0:,Pending
113,Курт,9646,499,Молочные продукты,"Отличается высоким содержанием оротовой кислоты, необходимой для синтеза ДНК и РНК.",2022-01-01,2030-05-03,1.8:,Delivered
114,Ананас,4073,290,Фрукты,"Отличается высоким содержанием меди, необходимой для синтеза коллагена и эластина.",1999-06-14,2028-02-04,1.05:,Out of Stock
115,Петрушка корневая,948,730,Овощи,"Популярен среди спортсменов и людей, ведущих активный образ жизни.",1996-01-01,2030-02-12,3.97:,Pending
116,Тан,720,437,Молочные продукты,Является важной составляющей рациона для поддержания общего здоровья и благополучия.,2022-07-11,2023-03-05,1.93:,Out of Stock
117,Одеяла,6626,455,Товары для дома,"Помогает поддерживать нормальный уровень эндорфинов, гормонов радости и удовольствия.",1991-01-10,2017-01-02,0.8:,In Stock
118,Чай зеленый,1524,356,Бакалея,"Помогает улучшить состояние волос, ногтей и кожи.",2007-05-04,2028-04-02,1.65:,Available for Pickup
119,Эмменталь,5540,831,Молочные продукты,Отличается высокой питательной ценностью и помогает поддерживать здоровый образ жизни.,2000-01-04,2007-07-04,3.72:,Returned
120,Фарш куриный,3485,266,Мясо,"Помогает поддерживать нормальный уровень кемпферола, флавоноида, полезного для здоровья сердца и сосудов.",2004-09-04,2025-03-02,2.94:,Out of Stock
121,Славяновская,6235,855,Напитки,"Подходит для использования в диетах, направленных на снижение веса.",2008-01-11,2021-04-07,4.52:,Temporarily Unavailable
122,Инжир,2347,453,Фрукты,"Отличается высоким содержанием пребиотиков, способствующих здоровью кишечника.",2011-01-01,2030-09-13,4.19:,Temporarily Unavailable
123,Пакеты для путешествий,178,612,Товары для дома,Улучшает настроение и общее самочувствие благодаря содержанию триптофана.,2012-01-10,2015-01-12,2.41:,Cancelled
124,Шубат,4261,978,Молочные продукты,"Отличается высоким содержанием DMAE, вещества, улучшающего умственную деятельность и настроение.",2015-02-04,2019-04-01,3.07:,Returned
125,Ананас,2564,709,Фрукты,Прошел тщательный отбор сырья и контроль на каждом этапе производства.,2021-08-02,2029-01-02,4.6:,Out of Stock
126,Ивантеевская,2308,634,Напитки,Является важным компонентом рациона для поддержания гормонального баланса.,1993-10-01,2016-04-07,1.56:,Returned
127,Груша,5838,36,Фрукты,"Отличается высоким содержанием мирицетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",1998-09-05,2013-02-02,0.44:,Cancelled
128,Брынза,5397,651,Молочные продукты,"Помогает поддерживать нормальный уровень глутатиона, главного антиоксиданта организма.",2004-01-23,2028-02-02,3.02:,New
129,Вяленое мясо,4564,107,Мясо,"Помогает поддерживать нормальный уровень апигенина, флавоноида, полезного для здоровья мозга и иммунной системы.",2003-01-06,2009-03-03,2.77:,Returned
